,line_cd,station_cd1,station_cd2
0,0,1111922,1110101
1,0,9910517,1110101
2,0,9910617,1110101
3,0,9910517,1111922
4,0,9910617,1111922
5,0,9910617,9910517
6,0,1111921,1110102
7,0,1110201,1110138
8,0,1110401,1110138
9,0,1110401,1110201
10,0,1110301,1110219
11,0,1111202,1110314
12,0,1110919,1110315
13,0,1111201,1110315
14,0,9910206,1110315
15,0,9910307,1110315
16,0,1111201,1110919
17,0,9910206,1110919
18,0,9910307,1110919
19,0,9910206,1111201
20,0,9910307,1111201
21,0,9910307,9910206
22,0,1110918,1110316
23,0,1110917,1110317
24,0,1110514,1110327
25,0,1110601,1110335
26,0,1111301,1110338
27,0,1111401,1110342
28,0,1111501,1110342
29,0,1111601,1110342
30,0,1111501,1111401
31,0,1111601,1111401
32,0,1111601,1111501
33,0,1110501,1110434
34,0,1110901,1110434
35,0,1111101,1110434
36,0,1110901,1110501
37,0,1111101,1110501
38,0,1111101,1110901
39,0,1110902,1110502
40,0,1111002,1110506
41,0,1111418,1110610
42,0,1110701,1110618
43,0,1111015,1110618
44,0,1111015,1110701
45,0,9910701,1110714
46,0,1110801,1110731
47,0,1111728,1110731
48,0,1111728,1110801
49,0,1111727,1110802
50,0,1111001,1110906
51,0,9910119,1110915
52,0,1111602,1111502
53,0,1111603,1111503
54,0,9910733,1111633
55,0,1111701,1111642
56,0,1111910,1111806
57,0,9910403,9910108
58,0,9910207,9910109
59,0,9910308,9910109
60,0,9910308,9910207
61,0,9910423,9910208
62,0,9910601,9910501
63,0,9910602,9910502
64,0,9910603,9910503
65,0,9910604,9910504
66,0,9910605,9910505
67,0,9910606,9910506
68,0,9910607,9910507
69,0,9910608,9910508
70,0,9910609,9910509
71,0,9910610,9910510
72,0,9910611,9910511
73,0,9910612,9910512
74,0,9910613,9910513
75,0,9910614,9910514
76,0,9910615,9910515
77,0,9910616,9910516
78,0,9910618,9910518
79,0,9910619,9910519
80,0,9910620,9910520
81,0,1120512,1111801
82,0,1120514,1111802
83,0,1120601,1120101
84,0,9920607,1120101
85,0,9920607,1120601
86,0,9920301,1120255
87,0,9920201,1120257
88,0,1120443,1120259
89,0,1120501,1120266
90,0,1120120,1120266
91,0,1120120,1120501
92,0,1120110,1120301
93,0,9920101,1120437
94,0,1120105,9920401
95,0,9920601,9920518
96,0,9920715,1120625
97,0,1121314,1120701
98,0,1123166,1120801
99,0,9920801,1120825
100,0,1123176,1120901
101,0,1121330,1120924
102,0,9920810,1120924
103,0,9920810,1121330
104,0,1123174,1121001
105,0,1121301,1121101
106,0,1123185,1121101
107,0,9920501,1121101
108,0,1123185,1121301
109,0,9920501,1121301
110,0,9920501,1123185
111,0,9920507,1121201
112,0,9920701,1121318
113,0,1122423,1120814
114,0,1122202,1121701
115,0,1123143,1121701
116,0,1123033,1121701
117,0,1123143,1122202
118,0,1123033,1122202
119,0,1123033,1123143
120,0,9921406,1121703
121,0,1122301,1122101
122,0,1123156,1122101
123,0,1123156,1122301
124,0,9921410,1122201
125,0,1122308,1122231
126,0,1122401,1122304
127,0,9921324,1123136
128,0,1123028,1123137
129,0,1123029,1123138
130,0,1123030,1123139
131,0,9921701,1123139
132,0,9921701,1123030
133,0,1123031,1123140
134,0,1123034,1123141
135,0,1123032,1123142
136,0,9921415,1123142
137,0,9921415,1123032
138,0,9921201,1123161
139,0,1121017,1120217
140,0,1121117,1120220
141,0,1121460,1120228
142,0,1121501,1120231
143,0,1120401,1120240
144,0,9920901,1120245
145,0,1121227,1120249
146,0,9920929,1121111
147,0,9921001,1121450
148,0,1121635,1120201
149,0,1122001,1120201
150,0,1122127,1120201
151,0,1122001,1121635
152,0,1122127,1121635
153,0,1122127,1122001
154,0,1122010,1121434
155,0,1121901,1121609
156,0,9921101,1121612
157,0,1121721,1121618
158,0,1121801,1121618
159,0,1121801,1121721
160,0,1121720,1121619
161,0,1121802,1121619
162,0,1121802,1121720
163,0,1121719,1121620
164,0,9921107,1121908
165,0,1123124,1121601
166,0,9921301,1121601
167,0,9921501,1121601
168,0,9921301,1123124
169,0,9921501,1123124
170,0,9921501,9921301
171,0,1122816,1122501
172,0,1123114,1122501
173,0,1133846,1122501
174,0,1123114,1122816
175,0,1133846,1122816
176,0,1133846,1123114
177,0,1122601,1122515
178,0,1122701,1122515
179,0,1122701,1122601
180,0,9921601,1122703
181,0,1122935,1122801
182,0,1123001,1122801
183,0,1123001,1122935
184,0,1133845,1123113
185,0,9934109,9921621
186,0,1132019,1122901
187,0,9931801,1122901
188,0,9931801,1132019
189,0,9931901,1122903
190,0,9932217,1122910
191,0,1133916,1122913
192,0,1133801,1122917
193,0,9932301,1122917
194,0,9932301,1133801
195,0,9931509,1122918
196,0,9932316,1132906
197,0,9932315,1132907
198,0,9931824,1133907
199,0,9933001,1133907
200,0,9933001,9931824
201,0,9931808,9930915
202,0,1131933,1123101
203,0,1133901,1131918
204,0,1134121,1131918
205,0,1134121,1133901
206,0,1134001,1131923
207,0,1133401,1131925
208,0,2100326,1134007
209,0,2101005,1134116
210,0,2100312,1134119
211,0,2100801,1134119
212,0,2100801,2100312
213,0,2100802,2100313
214,0,2100901,2100324
215,0,9934101,2100908
216,0,1132323,1131815
217,0,1132324,1131816
218,0,1133701,1131816
219,0,1134101,1131816
220,0,1134201,1131816
221,0,9932701,1131816
222,0,1133701,1132324
223,0,1134101,1132324
224,0,1134201,1132324
225,0,9932701,1132324
226,0,1134101,1133701
227,0,1134201,1133701
228,0,9932701,1133701
229,0,1134201,1134101
230,0,9932701,1134101
231,0,9932701,1134201
232,0,1134207,1133501
233,0,1134202,1134102
234,0,1134203,1134103
235,0,1134204,1134104
236,0,2100255,1134108
237,0,9931201,1134111
238,0,2101001,2100240
239,0,2101201,2100240
240,0,2101201,2101001
241,0,2101101,2100248
242,0,2101208,2100248
243,0,2101208,2101101
244,0,9931203,2101107
245,0,9932818,2101108
246,0,2100113,1130508
247,0,1132114,1130510
248,0,1133206,1130511
249,0,9930707,1130513
250,0,2100220,1130514
251,0,2200126,1131708
252,0,2200202,1131708
253,0,2200202,2200126
254,0,1131801,1131709
255,0,1132210,1131709
256,0,1132210,1131801
257,0,2100708,1131803
258,0,2100133,1131805
259,0,2100138,1131808
260,0,9930618,1131808
261,0,9930618,2100138
262,0,1132304,1131904
263,0,1133205,1131904
264,0,1133316,1131904
265,0,1133205,1132304
266,0,1133316,1132304
267,0,1133316,1133205
268,0,1132305,1131905
269,0,1133202,1131905
270,0,1133202,1132305
271,0,1132119,1131906
272,0,1132201,1131906
273,0,1132306,1131906
274,0,1132804,1131906
275,0,1133201,1131906
276,0,1133301,1131906
277,0,2100401,1131906
278,0,9932101,1131906
279,0,1132201,1132119
280,0,1132306,1132119
281,0,1132804,1132119
282,0,1133201,1132119
283,0,1133301,1132119
284,0,2100401,1132119
285,0,9932101,1132119
286,0,1132306,1132201
287,0,1132804,1132201
288,0,1133201,1132201
289,0,1133301,1132201
290,0,2100401,1132201
291,0,9932101,1132201
292,0,1132804,1132306
293,0,1133201,1132306
294,0,1133301,1132306
295,0,2100401,1132306
296,0,9932101,1132306
297,0,1133201,1132804
298,0,1133301,1132804
299,0,2100401,1132804
300,0,9932101,1132804
301,0,1133301,1133201
302,0,2100401,1133201
303,0,9932101,1133201
304,0,2100401,1133301
305,0,9932101,1133301
306,0,9932101,2100401
307,0,2100232,1131912
308,0,2100305,1131914
309,0,1132202,1132120
310,0,1132203,1132121
311,0,1132204,1132122
312,0,1132205,1132123
313,0,2100121,1132123
314,0,2100121,1132205
315,0,9930608,1132316
316,0,2800601,2100111
317,0,2801001,2100111
318,0,2801001,2800601
319,0,2100701,2100126
320,0,2100410,2100227
321,0,2100301,2100230
322,0,9930601,2100237
323,0,2200722,2200131
324,0,2200501,2200117
325,0,2200201,2200125
326,0,2200203,2200127
327,0,2200204,2200128
328,0,2200205,2200129
329,0,2200206,2200130
330,0,2200603,2200503
331,0,9930910,1130518
332,0,1132012,1130519
333,0,9933302,1130519
334,0,9933302,1132012
335,0,9932920,1130520
336,0,2300605,1130521
337,0,9934006,1130521
338,0,9934006,2300605
339,0,1131330,1130524
340,0,1132610,1130524
341,0,2800423,1130524
342,0,9933801,1130524
343,0,1132610,1131330
344,0,2800423,1131330
345,0,9933801,1131330
346,0,2800423,1132610
347,0,9933801,1132610
348,0,9933801,2800423
349,0,1131406,1131327
350,0,2300116,1131328
351,0,9930421,1131328
352,0,9930421,2300116
353,0,1131407,1131331
354,0,2100435,1131331
355,0,2300122,1131331
356,0,2100435,1131407
357,0,2300122,1131407
358,0,2300122,2100435
359,0,1131408,1131333
360,0,2300402,1131334
361,0,2300403,1131335
362,0,1131409,1131337
363,0,1131410,1131339
364,0,1132401,1131339
365,0,1132501,1131339
366,0,1132810,1131339
367,0,2300409,1131339
368,0,9933103,1131339
369,0,9933201,1131339
370,0,1132401,1131410
371,0,1132501,1131410
372,0,1132810,1131410
373,0,2300409,1131410
374,0,9933103,1131410
375,0,9933201,1131410
376,0,1132501,1132401
377,0,1132810,1132401
378,0,2300409,1132401
379,0,9933103,1132401
380,0,9933201,1132401
381,0,1132810,1132501
382,0,2300409,1132501
383,0,9933103,1132501
384,0,9933201,1132501
385,0,2300409,1132810
386,0,9933103,1132810
387,0,9933201,1132810
388,0,9933103,2300409
389,0,9933201,2300409
390,0,9933201,9933103
391,0,9933209,1131412
392,0,1132811,1131413
393,0,1132701,1131415
394,0,1133105,1131420
395,0,1132718,1131430
396,0,1132719,1131431
397,0,9933501,1131431
398,0,9933501,1132719
399,0,9932924,1132009
400,0,9933301,1132011
401,0,2100424,1132015
402,0,1132720,1132017
403,0,1132502,1132402
404,0,1132503,1132403
405,0,1132618,1132403
406,0,1132618,1132503
407,0,1133101,1132407
408,0,9930801,1132418
409,0,1132532,1132427
410,0,9932501,1132506
411,0,1133001,1132511
412,0,9933101,1132617
413,0,1132812,1132703
414,0,2300140,1132703
415,0,2300140,1132812
416,0,1132813,1132704
417,0,2300142,1132704
418,0,2300610,1132704
419,0,2300142,1132813
420,0,2300610,1132813
421,0,2300610,2300142
422,0,1132814,1132705
423,0,2300143,1132705
424,0,2300611,1132705
425,0,2300143,1132814
426,0,2300611,1132814
427,0,2300611,2300143
428,0,1132901,1132710
429,0,1132902,1132711
430,0,9930912,2100422
431,0,2300606,2100430
432,0,9932914,2100430
433,0,9934009,2100430
434,0,9932914,2300606
435,0,9934009,2300606
436,0,9934009,9932914
437,0,2300401,2300126
438,0,9932901,2300126
439,0,9932901,2300401
440,0,9933809,2300131
441,0,9931301,2300133
442,0,9932401,2300141
443,0,2300501,2300410
444,0,9934013,2300607
445,0,9934015,2300608
