,company_cd,company_name,company_name_h,company_name_k,company_name_r,company_type,company_url,e_status_x,e_status_y,has_station_data,is_bullet,lat,line_cd,line_name,line_name_h,line_name_k,lon,rr_cd,station_cd1,station_cd2,zoom
16,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.39216323856454,11402,JR身延線,JR身延線,ミノブセン,138.5323970333487,11.0,1140201,1140202,10.0
17,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.39216323856454,11402,JR身延線,JR身延線,ミノブセン,138.5323970333487,11.0,1140202,1140203,10.0
18,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.39216323856454,11402,JR身延線,JR身延線,ミノブセン,138.5323970333487,11.0,1140203,1140204,10.0
19,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.39216323856454,11402,JR身延線,JR身延線,ミノブセン,138.5323970333487,11.0,1140204,1140205,10.0
20,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.39216323856454,11402,JR身延線,JR身延線,ミノブセン,138.5323970333487,11.0,1140205,1140206,10.0
21,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.39216323856454,11402,JR身延線,JR身延線,ミノブセン,138.5323970333487,11.0,1140206,1140207,10.0
22,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.39216323856454,11402,JR身延線,JR身延線,ミノブセン,138.5323970333487,11.0,1140207,1140208,10.0
23,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.39216323856454,11402,JR身延線,JR身延線,ミノブセン,138.5323970333487,11.0,1140208,1140209,10.0
24,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.39216323856454,11402,JR身延線,JR身延線,ミノブセン,138.5323970333487,11.0,1140209,1140210,10.0
25,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.39216323856454,11402,JR身延線,JR身延線,ミノブセン,138.5323970333487,11.0,1140210,1140211,10.0
26,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.39216323856454,11402,JR身延線,JR身延線,ミノブセン,138.5323970333487,11.0,1140211,1140212,10.0
27,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.39216323856454,11402,JR身延線,JR身延線,ミノブセン,138.5323970333487,11.0,1140212,1140213,10.0
28,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.39216323856454,11402,JR身延線,JR身延線,ミノブセン,138.5323970333487,11.0,1140213,1140214,10.0
29,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.39216323856454,11402,JR身延線,JR身延線,ミノブセン,138.5323970333487,11.0,1140214,1140215,10.0
30,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.39216323856454,11402,JR身延線,JR身延線,ミノブセン,138.5323970333487,11.0,1140215,1140216,10.0
31,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.39216323856454,11402,JR身延線,JR身延線,ミノブセン,138.5323970333487,11.0,1140216,1140217,10.0
